Time (sec);X Position (m);Y Position (m);Z Position (m);Roll Position (rad);Pitch Position (rad);Yaw Position (rad)
1.7300000000;0.0165482327;-0.0193347977;-0.0152730596;0.0508167077;0.0944981723;-0.0266408335
1.7400000000;0.0166151327;-0.0193926637;-0.0154114440;0.0501233617;0.0956404565;-0.0255152946
1.7500000000;0.0166816136;-0.0194502235;-0.0155408193;0.0494687856;0.0967758832;-0.0244170166
1.7600000000;0.0167476750;-0.0195074801;-0.0156606963;0.0488514067;0.0979075345;-0.0233451414
1.7700000000;0.0168133163;-0.0195644370;-0.0157706892;0.0482735315;0.0990393992;-0.0222985043
1.7800000000;0.0168785373;-0.0196210973;-0.0158705152;0.0477411480;0.1001757720;-0.0212761585
1.7900000000;0.0169433381;-0.0196774637;-0.0159599932;0.0472608690;0.1013195447;-0.0202775031
1.8000000000;0.0170077188;-0.0197335387;-0.0160390459;0.0468369763;0.1024679829;-0.0193021064
1.8100000000;0.0170716801;-0.0197893247;-0.0161077075;0.0464703140;0.1036110347;-0.0183494187
1.8200000000;0.0171352227;-0.0198448246;-0.0161661278;0.0461583363;0.1047348484;-0.0174186311
1.8300000000;0.0171983477;-0.0199000413;-0.0162145675;0.0458957170;0.1058268197;-0.0165087220
1.8400000000;0.0172610561;-0.0199549770;-0.0162533840;0.0456746363;0.1068779584;-0.0156184153
1.8500000000;0.0173233494;-0.0200096329;-0.0162830105;0.0454853499;0.1078829336;-0.0147461751
1.8600000000;0.0173852286;-0.0200640092;-0.0163039328;0.0453173039;0.1088408309;-0.0138904210
1.8700000000;0.0174466951;-0.0201181052;-0.0163166871;0.0451586582;0.1097562171;-0.0130497886
1.8800000000;0.0175077502;-0.0201719198;-0.0163218882;0.0449975635;0.1106359574;-0.0122233063
1.8900000000;0.0175683954;-0.0202254509;-0.0163202557;0.0448284837;0.1114837596;-0.0114104812
1.9000000000;0.0176286320;-0.0202786960;-0.0163126056;0.0446553622;0.1123009543;-0.0106113011
1.9100000000;0.0176884614;-0.0203316516;-0.0162998270;0.0444863641;0.1130912366;-0.0098260116
1.9200000000;0.0177478849;-0.0203843136;-0.0162828686;0.0443273143;0.1138593813;-0.0090547663
1.9300000000;0.0178069041;-0.0204366767;-0.0162627263;0.0441796708;0.1146056271;-0.0082975333
1.9400000000;0.0178655205;-0.0204887339;-0.0162404243;0.0440429839;0.1153264393;-0.0075540482
1.9500000000;0.0179237359;-0.0205404764;-0.0162170043;0.0439198412;0.1160203675;-0.0068235511
1.9600000000;0.0179815522;-0.0205918935;-0.0161935299;0.0438181114;0.1166881483;-0.0061046936
1.9700000000;0.0180389714;-0.0206429722;-0.0161710964;0.0437464500;0.1173296645;-0.0053957813
1.9800000000;0.0180959958;-0.0206936982;-0.0161508155;0.0437086623;0.1179461023;-0.0046952082
1.9900000000;0.0181526277;-0.0207440562;-0.0161337690;0.0437049100;0.1185442335;-0.0040018729
2.0000000000;0.0182088693;-0.0207940304;-0.0161209730;0.0437356369;0.1191371777;-0.0033150804
2.0100000000;0.0182647231;-0.0208436049;-0.0161133786;0.0438013071;0.1197402810;-0.0026339763
2.0200000000;0.0183201911;-0.0208927638;-0.0161118729;0.0439006669;0.1203663382;-0.0019571682
2.0300000000;0.0183752755;-0.0209414922;-0.0161172607;0.0440310050;0.1210248365;-0.0012827168
2.0400000000;0.0184299781;-0.0209897752;-0.0161302471;0.0441898715;0.1217214847;-0.0006084092
2.0500000000;0.0184843010;-0.0210375989;-0.0161514293;0.0443783217;0.1224570429;0.0000677757
2.0600000000;0.0185382463;-0.0210849503;-0.0161812878;0.0446041944;0.1232286062;0.0007473491
2.0700000000;0.0185918166;-0.0211318172;-0.0162201721;0.0448798847;0.1240295694;0.0014312956
2.0800000000;0.0186450146;-0.0211781885;-0.0162682849;0.0452145820;0.1248496617;0.0021202068
2.0900000000;0.0186978429;-0.0212240542;-0.0163256763;0.0456093118;0.1256813964;0.0028145283
2.1000000000;0.0187503042;-0.0212694055;-0.0163922507;0.0460593778;0.1265253756;0.0035147649
2.1100000000;0.0188024010;-0.0213142349;-0.0164677787;0.0465600730;0.1273847834;0.0042214715
2.1200000000;0.0188541357;-0.0213585357;-0.0165519081;0.0471084528;0.1282566826;0.0049352915
